epoch,train_loss,train_acc,val_loss,val_acc
1,3.5018225730025527,0.10221871298855112,3.4073457919226753,0.10666666666666667
2,3.195351223235915,0.16056849585471772,3.104663381046719,0.17777777777777778
3,3.036684795854782,0.19125148045795498,2.922738274468316,0.23777777777777778
4,2.9321903840986296,0.2195973154362416,2.8348349963294135,0.2222222222222222
5,2.854563092997175,0.23583103039873668,2.740254815949334,0.24444444444444444
6,2.7864248788135586,0.2486221871298855,2.5746096065309314,0.29777777777777775
7,2.729058848846773,0.26270825108566914,2.5730850823720295,0.2733333333333333
8,2.6781865988594715,0.2731780497433873,2.5759583690431382,0.29555555555555557
9,2.6455114758179397,0.2818949861823924,2.4561279937956066,0.2777777777777778
10,2.606135185763528,0.2890485590209238,2.5211595641242135,0.29555555555555557
11,2.574868019204153,0.29623371496249506,2.4471376469400195,0.3088888888888889
12,2.5465643521160937,0.3023450454007106,2.4517546023262873,0.3022222222222222
13,2.521039889456489,0.3104776944334781,2.346804512606727,0.3111111111111111
14,2.497072529282628,0.315246742992499,2.448163549900055,0.3022222222222222
15,2.4741173320940444,0.3196210027635215,2.642538987265693,0.29333333333333333
16,2.4544651233072203,0.32769048559020925,2.329135789076487,0.3422222222222222
17,2.430633922863797,0.3294749309119621,2.321118701828851,0.3244444444444444
18,2.418407232274757,0.3326806158705093,2.2196019938257003,0.35777777777777775
19,2.395768289404145,0.33760757994472956,2.2835138414965734,0.31555555555555553
20,2.3832589556509167,0.34359257797078563,2.170139965746138,0.33555555555555555
